"","sessionCode","age","gender","language","qualification","effort","sincerity","sessionStart","sessionEnd","ipAddress","browserName","browserVersion","similarityClosed","similarityOpen","repetitionClosed","repetitionOpen","analogyClosed","analogyOpen","sessionEndTs","sessionStartTs","sessionDuration","quali","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","NFC","FI","unit_id","created_at","id","started_at","tainted","channel","trust","worker_id","country","region","city","ip","conf_code","contributor_id","feedback","trick_rel_cor","trick_name_cor","trick_total_cor","date","hour","dayblock","overall_cor","timeReading","timeDrag","timeReadingMedian"
"53","gto6lwt07e6v",20,"other","en","university",3,"yes","Fri_May_13_2016_10-46-36","Fri_May_13_2016_11-02-11","152.26.91.85","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-13 11:02:11,2016-05-13 10:46:36,15.5833333333333,"university",1,0,3,3,0,3,2,2,3,3,17,13,952207996,"5/13/2016 15:02:30",1985189195,"5/13/2016 14:46:32","false","prodege",1,33720713,"USA","NC","Raleigh","152.26.91.146","gto6lwt07e6v-wgsk4qf6680d",25,"",TRUE,TRUE,TRUE,"2016-05-13",10,"morning",0.732142857142857,4096,9782,4446
"54","hdpy3r5xegau",54,"female","en","highschool",3,"yes","Mon_Apr_25_2016_07-58-19","Mon_Apr_25_2016_08-13-34","127.4.234.129","Chrome",50,"no",NA,"no",NA,"yes","the last name of the sentance awas always the first name in the next sentance",2016-04-25 08:13:34,2016-04-25 07:58:19,15.25,"highschool",2,2,2,2,2,4,4,3,4,3,10,20,939944841,"4/25/2016 12:13:42",1968433012,"4/25/2016 11:57:49","false","instagc",1,21088425,"USA","MI","Battle Creek","107.140.176.37","hdpy3r5xegau-57xo5ftqu4vr",21088425,NA,TRUE,TRUE,TRUE,"2016-04-25",7,"morning",0.866071428571429,4581,10760,4808
"55","hhaa1bazs78h",54,"female","en","highschool",3,"yes","Fri_Apr_29_2016_12-15-58","Fri_Apr_29_2016_12-31-56","127.4.234.129","Chrome",50,"no",NA,"yes","last name was first in next sentance","no",NA,2016-04-29 12:31:56,2016-04-29 12:15:58,15.9666666666667,"highschool",2,2,2,2,2,4,4,4,4,4,10,22,943076293,"4/29/2016 16:32:00",1972019774,"4/29/2016 16:15:22","false","instagc",1,21088425,"USA","MI","Battle Creek","107.140.176.37","hhaa1bazs78h-57xo5ftqu4vr",21088425,"",TRUE,TRUE,TRUE,"2016-04-29",12,"afternoon",0.866071428571429,4362.5,11601.5,4532.5
"56","jcncsatdp68d",49,"male","en","university",3,"yes","Fri_Apr_29_2016_13-47-21","Fri_Apr_29_2016_14-07-18","127.4.234.129","Firefox",45,"no",NA,"no",NA,"no",NA,2016-04-29 14:07:18,2016-04-29 13:47:21,19.95,"university",1,2,3,3,0,3,3,3,4,4,15,17,943076293,"4/29/2016 18:07:32",1972086892,"4/29/2016 17:46:53","false","elite",1,31956791,"USA","OH","Youngstown","72.23.5.90","jcncsatdp68d-57xo5ftqu4vr",31956791,"",TRUE,TRUE,TRUE,"2016-04-29",13,"afternoon",0.866071428571429,9762.5,13293,9999
"58","kcmnlhlb5y85",37,"female","en","university",3,"yes","Fri_May_13_2016_11-13-15","Fri_May_13_2016_11-32-08","24.129.68.254","Safari",9,"yes","all three parts, middle part connects the two other parts","no",NA,"no",NA,2016-05-13 11:32:08,2016-05-13 11:13:15,18.8833333333333,"university",1,0,3,3,1,3,3,2,3,3,16,15,952207996,"5/13/2016 15:32:20",1985217291,"5/13/2016 15:12:33","false","instagc",1,15445601,"USA","FL","Jacksonville","24.129.68.254","kcmnlhlb5y85-wgsk4qf6680d",4,"",TRUE,TRUE,TRUE,"2016-05-13",11,"morning",0.946428571428571,8373.5,10918,8550.5
"59","kw8dgwbcntmp",61,"female","en","university",3,"yes","Tue_May_03_2016_09-33-23","Tue_May_03_2016_09-48-49","127.4.234.129","Firefox",45,"yes","intor, action, fresult","yes","noted repetition","yes","cant say",2016-05-03 09:48:49,2016-05-03 09:33:23,15.4333333333333,"university",0,0,4,4,0,3,3,3,3,3,20,15,943925037,"5/3/2016 13:49:15",1975005873,"5/3/2016 13:30:21","false","prodege",1,3682947,"USA","FL","Palm Bay","50.89.229.115","kw8dgwbcntmp-57xo5ftqu4vr",3682947,"",TRUE,TRUE,TRUE,"2016-05-03",9,"morning",0.669642857142857,4254,11309,4430
"61","lj8m3pyz6vj1",53,"female","en","highschool",2,"yes","Fri_May_13_2016_15-05-52","Fri_May_13_2016_15-30-04","65.96.62.35","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-13 15:30:04,2016-05-13 15:05:52,24.2,"highschool",2,2,2,1,1,2,1,1,2,1,10,8,952207996,"5/13/2016 19:30:33",1985372566,"5/13/2016 19:04:46","false","prodege",1,36850816,"USA","MA","New Bedford","65.96.62.35","lj8m3pyz6vj1-wgsk4qf6680d",39,"none",TRUE,TRUE,TRUE,"2016-05-13",15,"afternoon",0.776785714285714,7348,15396.5,7865.5
"62","mo5dh82en44q",23,"female","en","university",3,"yes","Fri_May_13_2016_11-08-28","Fri_May_13_2016_11-27-40","72.95.208.85","Chrome",50,"yes","They were all phrased similarly, and followed a logical progression","yes","I detected a pattern: all the nouns were not real words, and the object of the last sentence became the subject of the next sentence.","yes","All of them, honestly. I don't really remember specifics of any of the stories; they mostly seemed to have the same structure.",2016-05-13 11:27:40,2016-05-13 11:08:28,19.2,"university",3,0,4,4,0,2,2,2,2,3,17,11,952207996,"5/13/2016 15:28:10",1985213435,"5/13/2016 15:06:29","false","prodege",1,34016083,"USA","PA","Grapeville","72.95.208.85","mo5dh82en44q-wgsk4qf6680d",30,"",TRUE,TRUE,TRUE,"2016-05-13",11,"morning",0.785714285714286,3848,12503,4401
"63","nfgm555dkbw8",39,"female","en","doctoral",3,"yes","Sat_May_14_2016_06-23-53","Sat_May_14_2016_06-40-24","71.55.62.18","Firefox",46,"no",NA,"yes","The statements were all related","yes","repeating structure",2016-05-14 06:40:24,2016-05-14 06:23:53,16.5166666666667,"doctoral",3,2,1,1,1,3,3,2,3,2,8,14,953041219,"5/14/2016 10:40:31",1986119838,"5/14/2016 10:23:09","false","prodege",1,6579519,"USA","OH","Mansfield","71.55.62.18","nfgm555dkbw8-wgsk4qf6680d",6579519,"",TRUE,TRUE,TRUE,"2016-05-14",6,"morning",0.982142857142857,8019,9649.5,8144
"64","nhdpm3k48y40",48,"female","en","university",2,"yes","Fri_May_13_2016_12-16-44","Fri_May_13_2016_12-37-47","152.208.40.147","Chrome",50,"yes","Noun X (which serves as subject) Verb (or verb phrase) a Noun Y (which serves as an object)
Noun Y (which serves as subject) verb (or verb phrase) b Noun Z (which serves as an object)
Noun Z (which serves as subject) verb (or verb phrase) c","yes","The structure of the sentences.","no",NA,2016-05-13 12:37:47,2016-05-13 12:16:44,21.05,"university",0,0,4,4,0,1,3,1,2,3,20,10,952207996,"5/13/2016 16:38:19",1985263733,"5/13/2016 16:15:46","false","prodege",1,1854545,"USA","PA","Camp Hill","152.208.40.147","nhdpm3k48y40-wgsk4qf6680d",8,"",TRUE,TRUE,TRUE,"2016-05-13",12,"afternoon",0.9375,8226.5,10227,9140
"65","nn2u37yntpnk",47,"female","en","highschool",3,"yes","Fri_May_13_2016_15-43-37","Fri_May_13_2016_16-05-15","174.59.30.16","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-13 16:05:15,2016-05-13 15:43:37,21.6333333333333,"highschool",0,0,3,3,0,1,3,2,2,1,18,9,952207996,"5/13/2016 20:05:52",1985392788,"5/13/2016 19:42:42","false","prodege",1,1853182,"USA","PA","Lancaster","174.59.30.16","nn2u37yntpnk-wgsk4qf6680d",7,"",TRUE,TRUE,TRUE,"2016-05-13",15,"afternoon",0.660714285714286,5948.5,11529.5,6547
"66","nw3keb6wkuzb",27,"female","en","university",3,"yes","Sat_May_14_2016_08-21-31","Sat_May_14_2016_08-46-50","73.199.97.128","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-14 08:46:50,2016-05-14 08:21:31,25.3166666666667,"university",2,2,2,1,3,2,1,0,1,1,8,8,953041219,"5/14/2016 12:47:08",1986208775,"5/14/2016 12:34:02","false","prodege",1,1854070,"USA","NJ","Woodbury","73.199.97.128","nw3keb6wkuzb-wgsk4qf6680d",1854070,"",TRUE,TRUE,TRUE,"2016-05-14",8,"morning",0.964285714285714,4642.5,6539.5,4736
"67","nx7t2gkw754o",22,"male","en","university",1,"yes","Fri_Apr_22_2016_11-29-52","Fri_Apr_22_2016_11-52-33","127.4.234.129","Chrome",49,"no",NA,"yes","repeating names","no",NA,2016-04-22 11:52:33,2016-04-22 11:29:52,22.6833333333333,"university",2,3,2,0,3,2,4,1,3,3,6,16,939041721,"4/22/2016 16:22:47",1967065472,"4/22/2016 15:55:45","false","neodev",1,34694174,"USA","NY","New York","173.234.116.170","nx7t2gkw754o-57xo5ftqu4vr",34694174,"",TRUE,TRUE,TRUE,"2016-04-22",11,"morning",0.919642857142857,12321,11385.5,13034
"69","o8rbryw09tf4",20,"male","en","university",3,"yes","Fri_May_13_2016_08-47-18","Fri_May_13_2016_09-15-39","162.223.93.194","Firefox",46,"no",NA,"no",NA,"no",NA,2016-05-13 09:15:39,2016-05-13 08:47:18,28.35,"university",1,3,3,3,3,3,3,3,3,2,11,17,952207996,"5/13/2016 16:16:31",1985251124,"5/13/2016 15:46:40","false","neodev",1,31329809,"USA","DE","Wilmington","162.223.93.194","o8rbryw09tf4-wgsk4qf6680d",18,"",TRUE,TRUE,TRUE,"2016-05-13",8,"morning",0.723214285714286,5743.5,19528,5640
"70","o93feeteyps5",28,"male","en","university",3,"yes","Fri_Apr_29_2016_13-00-52","Fri_Apr_29_2016_13-23-01","127.4.234.129","Chrome",49,"yes","Every story had 3 names of places, things or people.. as well as 2 actions and 1 consequence","no",NA,"yes","x attracts insects to x
lawyer x is hired by x
",2016-04-29 13:23:01,2016-04-29 13:00:52,22.15,"university",0,0,4,4,1,0,2,1,1,0,19,5,943076293,"4/29/2016 18:03:24",1972084922,"4/29/2016 18:02:59","false","elite",1,36939273,"USA","TX","Dallas","104.36.87.166","o93feeteyps5-57xo5ftqu4vr",36939273,"",TRUE,TRUE,TRUE,"2016-04-29",13,"afternoon",0.8125,8112,14280.5,8608
"73","ozz7yp7ewgsc",27,"male","en","university",2,"yes","Tue_May_03_2016_09-05-26","Tue_May_03_2016_09-22-00","127.4.234.129","Chrome",49,"yes","the 3 statements of each story had a pattern","no","verbs that described ","yes","Resource Thuha is sparse in country Uhuy

",2016-05-03 09:22:00,2016-05-03 09:05:26,16.5666666666667,"university",0,0,3,3,0,1,1,0,1,1,18,4,943925037,"5/3/2016 13:30:05",1974993421,"5/3/2016 13:12:08","false","elite",1,36747744,"USA","NV","Las Vegas","209.141.45.34","ozz7yp7ewgsc-57xo5ftqu4vr",36747744,"that experiment was tough, I hope i get the bonus",TRUE,TRUE,TRUE,"2016-05-03",9,"morning",0.883928571428571,4974,11053.5,5058
"76","qovd30eq3fqf",54,"male","en","university",2,"yes","Sat_May_14_2016_07-10-23","Sat_May_14_2016_07-37-59","45.46.211.14","Chrome",50,"yes","the second name was always the first in the next","yes","the second name was always first in the next","no",NA,2016-05-14 07:37:59,2016-05-14 07:10:23,27.6,"university",2,2,3,3,2,2,1,2,0,0,12,7,953041219,"5/14/2016 11:38:29",1986160785,"5/14/2016 11:09:12","false","prodege",1,14392456,"USA","NY","East Rochester","45.46.211.14","qovd30eq3fqf-wgsk4qf6680d",14392456,"",TRUE,TRUE,TRUE,"2016-05-14",7,"morning",0.901785714285714,8595.5,15598.5,8791
"77","qsoztz6u21a3",29,"male","en","university",2,"yes","Fri_May_13_2016_13-07-28","Fri_May_13_2016_13-18-33","24.241.48.29","Firefox",43,"yes","one relation led to another relation","yes","the last name became the first name of the next sentence","yes","almost all of them except the fisherman one",2016-05-13 13:18:33,2016-05-13 13:07:28,11.0833333333333,"university",0,1,3,3,4,1,0,3,2,4,13,14,952207996,"5/13/2016 17:18:48",1985300116,"5/13/2016 17:06:46","false","neodev",1,37547023,"USA","GA","Lawrenceville","24.241.48.29","qsoztz6u21a3-wgsk4qf6680d",50,"",TRUE,TRUE,TRUE,"2016-05-13",13,"afternoon",0.8125,2610,6769.5,3191.5
"78","s63u5y835lxq",48,"female","en","highschool",3,"yes","Sat_May_14_2016_06-43-00","Sat_May_14_2016_07-05-41","98.70.108.224","Chrome",50,"yes","The names were made up names","no",NA,"yes","I can't remember",2016-05-14 07:05:41,2016-05-14 06:43:00,22.6833333333333,"highschool",0,0,3,2,1,3,2,2,2,2,16,12,953041219,"5/14/2016 11:06:06",1986136768,"5/14/2016 10:42:42","false","instagc",1,18386513,"USA","TN","Knoxville","98.70.108.224","s63u5y835lxq-wgsk4qf6680d",18386513,"No",TRUE,TRUE,TRUE,"2016-05-14",6,"morning",0.75,8049,15969,8636
"79","s8b80bvuzyxf",37,"male","en","highschool",3,"yes","Fri_Apr_29_2016_11-28-53","Fri_Apr_29_2016_11-56-16","127.4.234.129","Chrome",49,"yes","they involved actions and reactions, as well as nonsense names","yes","action/reaction","yes","all but one. Don't really recall the specific stories",2016-04-29 11:56:16,2016-04-29 11:28:53,27.3833333333333,"highschool",0,0,4,4,0,3,3,3,3,3,20,15,943076293,"4/29/2016 16:57:05",1972039624,"4/29/2016 16:28:36","false","instagc",1,36726729,"USA","MS","Poplarville","50.86.61.80","s8b80bvuzyxf-57xo5ftqu4vr",36726729,"Very strange study.",TRUE,TRUE,TRUE,"2016-04-29",11,"morning",0.875,9773,16309.5,10694
"80","sag3wsl4jhu9",44,"female","en","highschool",3,"yes","Tue_May_03_2016_08-24-07","Tue_May_03_2016_08-46-44","127.4.234.129","Chrome",50,"yes","The names follow in the sentences","yes","the names","no",NA,2016-05-03 08:46:44,2016-05-03 08:24:07,22.6166666666667,"highschool",0,0,4,3,1,4,3,3,3,3,18,17,943925037,"5/3/2016 12:48:30",1974971116,"5/3/2016 12:25:15","false","prodege",1,12009597,"USA","VA","Martinsville","67.174.76.148","sag3wsl4jhu9-57xo5ftqu4vr",12009597,"",TRUE,TRUE,TRUE,"2016-05-03",8,"morning",0.964285714285714,10995.5,14473,11308
"81","szyljk52m71h",45,"female","en","highschool",2,"yes","Fri_May_13_2016_10-10-20","Fri_May_13_2016_10-26-26","108.253.194.134","Firefox",46,"yes","X verb Y. Y verb Z. Z verb.","yes","Like before, X verb Y. Y verb Z. Z verb. X, Y, and Z.","yes","X verb Y. Y verb Z. Z verb.",2016-05-13 10:26:26,2016-05-13 10:10:20,16.1,"highschool",1,0,3,3,1,4,4,3,2,3,16,17,952207996,"5/13/2016 15:25:02",1985210467,"5/13/2016 15:01:00","false","prodege",1,13277529,"USA","TX","Mckinney","108.253.194.134","szyljk52m71h-wgsk4qf6680d",2,"",TRUE,TRUE,TRUE,"2016-05-13",10,"morning",0.973214285714286,7673.5,9720,7984
"82","tdr1krq0lm0v",26,"male","en","highschool",3,"yes","Fri_May_13_2016_10-34-55","Fri_May_13_2016_10-57-21","190.198.103.118","Chrome",49,"no",NA,"no",NA,"no",NA,2016-05-13 10:57:21,2016-05-13 10:34:55,22.4333333333333,"highschool",0,0,4,4,2,4,4,3,3,3,18,19,952207996,"5/13/2016 14:56:58",1985184444,"5/13/2016 14:56:29","false","elite",1,37258901,"USA","CA","San Jose","136.0.234.211","tdr1krq0lm0v-wgsk4qf6680d",41,"",TRUE,TRUE,TRUE,"2016-05-13",10,"morning",0.910714285714286,3356,14624,3360
"83","txqgxjxhd750",43,"male","en","university",3,"yes","Sat_May_14_2016_06-13-38","Sat_May_14_2016_06-30-48","50.166.185.251","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-14 06:30:48,2016-05-14 06:13:38,17.1666666666667,"university",3,2,2,1,2,3,3,3,3,2,8,16,953041219,"5/14/2016 10:31:04",1986114265,"5/14/2016 10:13:23","false","prodege",1,2034278,"USA","NJ","Fords","50.166.185.251","txqgxjxhd750-wgsk4qf6680d",2034278,"",TRUE,TRUE,TRUE,"2016-05-14",6,"morning",0.955357142857143,7674,10051.5,7821
"84","tzgf0c63p4z3",29,"male","en","university",3,"yes","Fri_Apr_29_2016_13-18-39","Fri_Apr_29_2016_13-31-11","127.4.234.129","Firefox",43,"no",NA,"no",NA,"no",NA,2016-04-29 13:31:11,2016-04-29 13:18:39,12.5333333333333,"university",2,2,2,1,1,1,1,2,2,1,10,8,943076293,"4/29/2016 19:32:45",1972130723,"4/29/2016 19:05:19","false","elite",1,36620711,"USA","NY","Rochester","23.92.223.197","tzgf0c63p4z3-57xo5ftqu4vr",36620711,"",TRUE,TRUE,TRUE,"2016-04-29",13,"afternoon",0.508928571428571,1095.5,12695.5,1097
"85","u02zvnnb5x92",43,"male","en","university",3,"yes","Fri_May_13_2016_12-26-43","Fri_May_13_2016_12-44-22","47.21.152.62","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-13 12:44:22,2016-05-13 12:26:43,17.65,"university",3,2,1,1,2,2,3,2,3,3,7,15,952207996,"5/13/2016 16:44:22",1985267108,"5/13/2016 16:25:42","false","prodege",1,2034278,"USA","NJ","Toms River","47.21.152.62","u02zvnnb5x92-wgsk4qf6680d",9,"",TRUE,TRUE,TRUE,"2016-05-13",12,"afternoon",0.919642857142857,10088,9995.5,10368
"86","unu3x8yw2fhb",24,"male","en","highschool",3,"yes","Fri_May_13_2016_13-15-26","Fri_May_13_2016_13-37-26","186.95.175.141","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-13 13:37:26,2016-05-13 13:15:26,22,"highschool",2,4,0,0,2,0,0,0,0,0,4,2,952207996,"5/13/2016 18:09:59",1985325426,"5/13/2016 17:44:12","false","elite",1,31834299,"USA","FL","Jacksonville","199.48.160.69","unu3x8yw2fhb-wgsk4qf6680d",20,"",TRUE,TRUE,TRUE,"2016-05-13",13,"afternoon",0.839285714285714,2752.5,16091.5,2742
"88","vm91ysgrd755",28,"female","en","university",2,"yes","Tue_May_03_2016_09-20-56","Tue_May_03_2016_09-47-22","127.4.234.129","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-03 09:47:22,2016-05-03 09:20:56,26.4333333333333,"university",0,0,4,4,1,3,3,3,3,3,19,16,943925037,"5/3/2016 13:47:36",1975005030,"5/3/2016 13:19:55","false","gifthunterclub",1,35603542,"USA","NY","New York","198.199.72.153","vm91ysgrd755-57xo5ftqu4vr",35603542,"",TRUE,TRUE,TRUE,"2016-05-03",9,"morning",0.9375,7648.5,12451,7776
"89","vy51gapm81bh",62,"female","en","university",2,"yes","Tue_May_03_2016_08-27-36","Tue_May_03_2016_08-50-44","127.4.234.129","Firefox",45,"no",NA,"no",NA,"yes","They all had causal effect.  A does B, B does C, C has this result",2016-05-03 08:50:44,2016-05-03 08:27:36,23.1333333333333,"university",4,4,1,1,4,3,2,3,3,3,2,18,943925037,"5/3/2016 12:52:11",1974973008,"5/3/2016 12:27:16","false","neodev",1,12115558,"USA","OH","Twinsburg","107.9.167.91","vy51gapm81bh-57xo5ftqu4vr",12115558,"I did try my best but had a very hard time remembering what happened.  My problem stemmed for the most part with the names.  I think if they were recognizable names I would have had less difficulty",TRUE,TRUE,TRUE,"2016-05-03",8,"morning",0.366071428571429,3348,20817,3814
"90","wfpny7w1q1pm",45,"female","en","highschool",3,"yes","Tue_May_03_2016_09-30-52","Tue_May_03_2016_09-54-32","127.4.234.129","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-03 09:54:32,2016-05-03 09:30:52,23.6666666666667,"highschool",1,2,2,1,2,3,3,3,3,3,10,17,943925037,"5/3/2016 13:54:49",1975009819,"5/3/2016 13:30:17","false","prodege",1,3663077,"USA","GA","Jefferson","50.96.93.247","wfpny7w1q1pm-57xo5ftqu4vr",3663077,"",TRUE,TRUE,TRUE,"2016-05-03",9,"morning",0.901785714285714,9477.5,15496.5,9792.5
"92","wodj40vqd0k9",21,"male","en","highschool",3,"yes","Fri_Apr_29_2016_11-12-04","Fri_Apr_29_2016_11-32-18","127.4.234.129","Firefox",45,"yes","LAST WORD IN STORIE","no",NA,"no",NA,2016-04-29 11:32:18,2016-04-29 11:12:04,20.2333333333333,"highschool",2,1,1,2,1,1,1,2,1,1,11,7,943076293,"4/29/2016 17:32:35",1972069586,"4/29/2016 17:11:00","false","elite",1,36620182,"USA","NY","Rochester","104.152.190.165","wodj40vqd0k9-57xo5ftqu4vr",36620182,"",TRUE,TRUE,TRUE,"2016-04-29",11,"morning",0.580357142857143,1107.5,15532.5,1207
"94","x6840bpd7udk",23,"female","en","highschool",3,"yes","Fri_Apr_29_2016_11-23-07","Fri_Apr_29_2016_11-37-29",NA,"Chrome",49,"no",NA,"yes","just a repeat of x does y y does z and z is q","no",NA,2016-04-29 11:37:29,2016-04-29 11:23:07,14.3666666666667,"highschool",1,1,3,2,2,3,4,3,4,4,13,20,943076293,"4/29/2016 16:37:47",1972023054,"4/29/2016 16:21:25","false","prodege",1,34066313,"USA","MO","Steele","74.91.74.171","x6840bpd7udk-57xo5ftqu4vr",34066313,"",TRUE,TRUE,TRUE,"2016-04-29",11,"morning",0.660714285714286,4104,11168,4343
"95","xawzy5rq02cp",54,"female","en","highschool",3,"yes","Fri_Apr_22_2016_13-06-03","Fri_Apr_22_2016_13-25-57","127.4.234.129","Chrome",49,"no",NA,"yes","The end names in the sentances were the beginning names in the next sentance","no",NA,2016-04-22 13:25:57,2016-04-22 13:06:03,19.9,"highschool",2,2,2,1,2,4,4,4,4,4,9,22,939041721,"4/22/2016 17:26:05",1967105840,"4/22/2016 17:05:29","false","instagc",1,21088425,"USA","MI","Battle Creek","107.140.176.37","xawzy5rq02cp-57xo5ftqu4vr",21088425,"",TRUE,TRUE,TRUE,"2016-04-22",13,"afternoon",0.857142857142857,7166,11706,7669.5
"96","xdskuzgb4hsb",24,"male","en","highschool",3,"yes","Tue_May_03_2016_06-22-00","Tue_May_03_2016_06-49-20","127.4.234.129","Chrome",52,"no",NA,"no",NA,"no",NA,2016-05-03 06:49:20,2016-05-03 06:22:00,27.3333333333333,"highschool",2,2,2,0,2,2,2,2,2,2,8,12,943925037,"5/3/2016 12:49:54",1974971825,"5/3/2016 12:21:31","false","neodev",1,36875532,"USA","NY","New York","107.170.51.70","xdskuzgb4hsb-57xo5ftqu4vr",36875532,"",TRUE,TRUE,TRUE,"2016-05-03",6,"morning",0.241071428571429,8105.5,11960.5,9206.5
"98","xzk9g7fbowq8",38,"female","en","university",3,"yes","Fri_May_13_2016_11-57-38","Fri_May_13_2016_12-13-46","76.245.204.32","Chrome",50,"no",NA,"no",NA,"yes","It seemed like each one of them had a cause and effect structure",2016-05-13 12:13:46,2016-05-13 11:57:38,16.1333333333333,"university",0,0,3,3,0,3,2,3,3,2,18,13,952207996,"5/13/2016 17:14:16",1985297342,"5/13/2016 16:57:02","false","memolink",1,6556053,"USA","IL","Zion","76.245.204.32","xzk9g7fbowq8-wgsk4qf6680d",45,"",TRUE,TRUE,TRUE,"2016-05-13",11,"morning",0.946428571428571,5794,10140,6077
"100","y43elv3xejju",25,"male","en","university",3,"yes","Fri_May_13_2016_12-39-38","Fri_May_13_2016_13-00-06","107.190.165.13","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-13 13:00:06,2016-05-13 12:39:38,20.4666666666667,"university",0,0,4,0,0,2,3,2,3,3,16,13,952207996,"5/13/2016 17:00:36",1985282427,"5/13/2016 16:34:14","false","elite",1,36657816,"USA","MN","Saint Paul","107.190.165.13","y43elv3xejju-wgsk4qf6680d",38,"",TRUE,TRUE,TRUE,"2016-05-13",12,"afternoon",0.794642857142857,4077,16575.5,4051
"101","ybxqgyn7qdj5",21,"male","en","university",3,"yes","Fri_May_13_2016_10-50-25","Fri_May_13_2016_12-13-01","192.30.80.6","Firefox",46,"no",NA,"no",NA,"no",NA,2016-05-13 12:13:01,2016-05-13 10:50:25,82.6,"university",0,2,3,3,2,3,3,3,3,3,14,17,952207996,"5/13/2016 18:35:57",1985341132,"5/13/2016 18:13:53","false","neodev",1,30321275,"USA","NV","Las Vegas","192.30.80.6","ybxqgyn7qdj5-wgsk4qf6680d",15,"",TRUE,TRUE,TRUE,"2016-05-13",10,"morning",0.660714285714286,4550,11522.5,4715
"102","yhdxh6zzuby2",24,"male","en","highschool",3,"yes","Fri_May_13_2016_10-09-27","Fri_May_13_2016_10-31-00","23.92.216.37","Firefox",45,"no",NA,"no",NA,"yes",NA,2016-05-13 10:31:00,2016-05-13 10:09:27,21.55,"highschool",1,2,1,2,1,1,2,2,2,2,11,10,952207996,"5/13/2016 16:31:19",1985259805,"5/13/2016 16:07:39","false","elite",1,35920592,"USA","NY","Rochester","23.92.216.37","yhdxh6zzuby2-wgsk4qf6680d",34,"",TRUE,TRUE,TRUE,"2016-05-13",10,"morning",0.580357142857143,1088,16951.5,1140
"103","yhj3tb410haw",36,"male","en","highschool",3,"yes","Fri_May_13_2016_13-00-21","Fri_May_13_2016_13-25-20","108.36.135.202","Chrome",50,"yes","The fist and second statements of each group seemed to be 'causes"" while the third statement was an 'effect'.","no",NA,"no",NA,2016-05-13 13:25:20,2016-05-13 13:00:21,24.9833333333333,"highschool",2,3,2,1,4,4,4,3,4,3,6,22,952207996,"5/13/2016 17:25:34",1985303381,"5/13/2016 16:59:18","false","neodev",1,25185311,"USA","PA","Allentown","108.36.135.202","yhj3tb410haw-wgsk4qf6680d",12,"",TRUE,TRUE,TRUE,"2016-05-13",13,"afternoon",1,10813,10998,10960
"105","z0khmlpzu0k8",30,"male","en","university",3,"yes","Fri_Apr_22_2016_09-50-53","Fri_Apr_22_2016_10-13-27","127.4.234.129","Firefox",45,"no",NA,"yes","very","yes","utagh",2016-04-22 10:13:27,2016-04-22 09:50:53,22.5666666666667,"university",2,1,1,2,1,2,1,2,2,2,11,10,939041721,"4/22/2016 16:13:57",1967060489,"4/22/2016 15:50:18","false","elite",1,36624282,"USA","NY","Rochester","104.171.124.121","z0khmlpzu0k8-57xo5ftqu4vr",36624282,"",TRUE,TRUE,TRUE,"2016-04-22",9,"morning",0.651785714285714,1382.5,21210.5,1468.5
"106","z3ufkp158wkl",48,"female","en","university",3,"yes","Fri_May_13_2016_10-59-45","Fri_May_13_2016_11-27-54","108.5.187.203","Chrome",46,"yes","the way writing question ","no",NA,"yes","it is very interesting",2016-05-13 11:27:54,2016-05-13 10:59:45,28.15,"university",3,3,3,2,3,3,2,3,2,3,8,16,952207996,"5/13/2016 15:28:28",1985213731,"5/13/2016 14:59:40","false","neodev",1,35701460,"USA","NJ","Bergenfield","108.5.187.203","z3ufkp158wkl-wgsk4qf6680d",33,"",TRUE,TRUE,TRUE,"2016-05-13",10,"morning",0.866071428571429,13756,15136,14119
"107","zcjxevmlyllt",23,"female","en","university",3,"yes","Tue_May_03_2016_08-41-51","Tue_May_03_2016_09-04-55","127.4.234.129","Chrome",50,"yes","object relate together in statements","no",NA,"yes","woman Atmag, Wecin, Yoges, Vilux ....",2016-05-03 09:04:55,2016-05-03 08:41:51,23.0666666666667,"university",3,4,3,2,3,1,3,3,1,3,7,14,943925037,"5/3/2016 13:25:40",1974991043,"5/3/2016 13:05:32","false","elite",1,37144319,"USA","GA","Atlanta","172.241.216.87","zcjxevmlyllt-57xo5ftqu4vr",37144319,"",TRUE,TRUE,TRUE,"2016-05-03",8,"morning",1,7768.5,17123.5,7768.5
